,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
37,2022-04-08 11:01:47,"#АГС_Сводка 10.59 - Над ЖД вокзалом в Краматорске что-то сбили. Говорят есть жертвы. Предположительно, точка У от ВФУ. Снова провокация для обвинения армии ЛДНР и РФ.",Провокация для разжигания ненависти к России,https://t.me/ags_donbass
41,2022-04-08 11:03:47,"Судя по обломкам - Точка-У, которой нет на вооружении России. Соответственно - ВСУ сами устроили данную провокацию. Напомним, что с этого ж/д вокзала происходит эвакуация мирных жителей",Провокация,https://t.me/denazi_ua
46,2022-04-08 11:08:41,Десять минут назад прилёты по ж/д вокзалу Краматорска. Работают по скоплению боевиков ВСУ.,Уничтожение украинских военных объектов,https://t.me/army_russia
71,2022-04-08 11:22:32,"Украина любой ценой будет удерживать Донбасс. Им нужен живой щит, поэтому сегодня в Крамоторске они устроили провокацию на ЖД вокзале с массовыми жертвами. Сразу написали прилетала ""Точка-У"", от российских войск. Буквально через несколько минут, когда поняли что ""точек"" у России нет, начали публиковать новости, что это ""кассетный Искандер"", вы идиоты? Россия своим одним из самых мощных видов оружия ударила по ЖД вокзалу? Серьезно?",Оборона позиций ВСУ живым щитом,https://t.me/talipovonline
72,2022-04-08 11:22:50,"Осторожно, жёсткие кадры Украинские боевики нанесли удар ""Точкой-У"" по вокзалу в Краматорске, где проходила эвакуация мирных граждан. Глава ""Украинских железных дорог"" Александр Камышин сообщил о попадании по вокзалу двух ракет.",Прекращение эвакуации,https://t.me/ssigny
190,2022-04-08 11:40:41,"В результате ракетных обстрелов вокзала Краматорска, по предварительным данным, более 30 человек погибли и более 100 раненых, сообщил глава правления АТ Укрзализныця Александр Камышин. Про хвостовик от ""Точки-У"" он ничего не сказал. Вот вам новая Буча, обещанная киевскими властями. Как перед первой Бучей Арестович обещал ""сюрприз"". ",Провокация ради картинки для Запада,https://t.me/sashakots
193,2022-04-08 11:41:24,"Краматорск. Ради оружия и новых санкций против России Украина опять убила своих собственных граждан. На этот раз нелюди ударили ""точкой-у"" по ж/д вокзалу, где шла эвакуация гражданского населения. Разумеется, упыри тут же обвинили во всем Россию, моментально начав снимать на видео последствия своего же преступления.",Усиление санкций против России,https://t.me/vityzeva
205,2022-04-08 11:42:35,"Теракт в Краматорске! Украинские нацисты ударили тактической ракетой ""Точка У"" по вокзалу города в момент, когда люди ожидали поезда. Есть много убитых и раненных мирных жителей!!! По предварительной уточняемой информации- 30 погибших и более 100 раненных.",Уничтожение гражданских объектов и мирного населения,https://t.me/pozalabai
214,2022-04-08 11:44:14,"КАК РАНЕЕ В СВОДКЕ И БЫЛО НАПИСАНО: ОЧЕРЕДНАЯ ПРОВОКАЦИЯ С ТОЧКОЙ У ОТ ВФУ: Касетним Іскандером - по залізничному вокзалу Краматорська вдарили російської фашисти Поліція та рятувальники, що працюють на місці, повідомляють про десятки загиблих та поранених людей. Під час ракетного удару на вокзалі перебували тисячі людей, адже відбувається евакуація жителів Донеччини до більш безпечних областей України. Рашисти добре знали, куди цілять і чого хочуть: вони хочуть посіяти паніку і страх, хочуть взяти у заручники якомога більше мирних людей. Російська федерація - країна нелюдів і злочинців. Зло має бути зупинене!",Усиление паники,https://t.me/ags_donbass
221,2022-04-08 11:44:25,"Осторожно, жёсткие кадры Сообщается, что в результате ракетного обстрела вокзала Краматорска по оперативным данным более 30 человек погибли и более 100 получили ранения. Это целенаправленный удар по пассажирской инфраструктуре железной дороги и жителям города Краматорск со стороны украинских боевиков. ""Точка-У"" стоит только на вооружении Украины и, скорее всего, она в очередной раз была с кассетным зарядом.",Убийство нелояльного населения,https://t.me/sil0viki
