,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
160,2022-04-08 11:38:13,В Краматорске на ж/д вокзале сильный взрыв. Сообщается о большом количестве погибших и раненых. Буча-2,Буча,https://t.me/mardanaka
284,2022-04-08 11:50:39,"Обломки упавшей в Краматорске ракеты. Эксперты утверждают, что это ""Точка-У"". Подобная использовалась при недавней атаке на Донецк.",Донбасс,https://t.me/bloknot_rossiya
330,2022-04-08 11:55:32,"На обломках ракеты, которая ударила по Краматорску, судя по всему надпись ""За детей"". Это очередное, хоть и косвенное подтверждение, что ракета была выпущена украинской армией Inside Donetsk",За детей,https://t.me/doninside
377,2022-04-08 11:57:51,"По Крамоторску. Сверху ракета упавшая в Крамоторске, снизу для примера ракета комплекса ""Искандер"". Однозначно по Крамоторску ударили ""Точкой-У"" и то, что Украина так истерично это отрицает и указывает на ""Искандер"" красноречиво говорит об виновнике. ""На воре и шапка горит!""",На воре шапка горит,https://t.me/talipovonline
459,2022-04-08 12:04:01,"Она и есть. Ее аэродинамические рули ни с чем не перепутать Неполживая общественность и медиа, конечно же, этот прилёт не заметят так же, как не разглядели прилет по Донецку 14 марта? Как и сотни других обстрелов ствольной и реактивной артиллерией жилого сектора населенных пунктов ДНР и ЛНР, но зато фиксируя внимание на разрушенной многоэтажке в Бородянке, которую ВСУ же и уничтожили, пытаясь попасть по колонне снабжения ВС РФ",Бородянка,https://t.me/sil0viki
513,2022-04-08 12:10:35,"И еще от подписчика из Краматорска: ""А самое обидное, что им будут верить даже про Искандеры... Никто на Западе правду знать не хочет... Даже нашим людям, которые в Краматорске, Славянске так промыли мозги пропагандой, что они боятся зверств и насилия со стороны нашей армии... А после провокации в Буче и Гостомеле - так вообще...""",Гостомель,https://t.me/ags_donbass
647,2022-04-08 12:22:46,"Вчера по многим пабликам показали это видео из Краматорска, на котором видно сколько народу пытается эвакуироваться из города, который нацисты хотят превратить во второй Мариуполь - а сегодня по вокзалу были запущены Точки-У. Совпадение? Русским нужно чтобы прекратилась эвакуация? А зачем? Может бандеровцам нужно чтобы как можно больше людей осталось в Краматорске в качестве живого щита?",Мариуполь,https://t.me/breege_time_20zz
1039,2022-04-08 13:09:13,"͏Последние пару дней украинские власти призывали жителей востока страны эвакуироваться, поскольку вот-вот ожидается наступление российских войск. Причем в сторону России украинские нацисты не выпускают даже стариков и детей. Население скапливается на вокзалах, в том числе прифронтового Краматорска, и туда прилетает ракета, которая убивает несколько человек. Украинская пропаганда верещит, что это русские бахнули Искандером по мирным жителям. Но на привокзальной площади валяются осколки от ракеты ""Точка-У"". Украинская пропаганда через час исправляется и начинает верещать о том, что русские ударили по Краматорску ""Точкой-У"". Есть одна проблема. ""Точка-У"" давно снята с вооружения российской армии, но зато активно используется украинской. То есть украинцы сами нанесли удар по городу, который им пока еще подконтролен, а теперь все валят на ""кровожадных русских"". В общем, это очередная, при этом максимально убогая попытка устроить очередную постанову. Первый раз в Буче все сошло с рук, криво-косо сделанный ""геноцид"" западная пресса была вынуждена съесть, ну и украинцы перестали стараться - все равно на Западе поверят в любую, саму кривую версию.",Метафора шоу,https://t.me/mediatech
1119,2022-04-08 13:20:59,"Фейк: Удар по вокзалу Краматорска нанесли российские войска ракетой ""Точка-У"". Об этом заявил президент Украины Владимир Зеленский. Правда: Удар был действительно нанесен ""Точкой-У"", однако эти тактические ракеты используют только ВСУ Украины, и ответственность за данную трагедию лежит на украинских властях. Это подтверждают фото с обломками ракеты, а теперь еще и Зеленский. Ранее украинские телеграм-каналы сообщили, что удар нанесен ""Искандером-м"", однако эта версия позднее была опровергнута и исключена даже самими украинскими властями. Российские войска не используют ""Точку У"" с 2019 года. А вот ВСУ 14 марта нанесли удар именно такой ракетой по Донецку, в результате чего погибли 20 человек. Ракета, упавшая в Краматорске, была выпущена с юго-запада — эта территория подконтрольна ВСУ. В Минобороны РФ подчеркнули: никаких огневых задач 8 апреля в городе Краматорск у российских вооруженных сил не было и не планировалось. А тактические ракеты ""Точка-У"" применяются только украинскими вооруженными силами. По результатам анализа повреждений на вокзале в Краматорске можно сделать вывод, что ракета разрушилась в воздухе на финальном участке траектории. С большой долей вероятности можно утверждать, что боевая часть (БЧ) ракеты не сработала. Так как при детонации фугасной боевой части на месте падения была бы воронка диаметром в несколько метров, а при использовании кассетной БЧ радиус поражения составил бы около километра, при этом поражения в таком радиусе в Краматорске не наблюдается. Саморазрушение ракеты могло произойти в результате длительного хранения без должного обслуживания и проведения регламентных процедур. На вооружении ВСУ находится большое количество старой и устаревшей техники, что приводит к промахам. Например, 4 октября 2001 года украинские военные устроили в Крыму учения войск ПВО с показательными стрельбами из комплексов С-200 и С-300. И в результате сбили над Черным морем пассажирский самолет, что привело к гибели 78 человек. Отметим также, что последнее время Украина предпринимала попытки модернизации своих ракетных сил. Например, у части ракет ""Точка-У"" проверенные и надёжные советские системы самоуничтожения были заменены на кустарные собственного производства, что и могло стать причиной трагедии.",Сбитый Боинг,https://t.me/warfakes
1385,2022-04-08 14:01:19,"После Краматорска продолжение переговоров с Зеленским выглядит для российской стороны выстрелом в ногу. По переговорам за две недели накоплен такой огромный негатив в вид кадров расстрелов российских пленных, провокации в Буче, критики Мединского и Пескова, и теперь ещё удар по Краматорску – не важно, сбита была ракет или отправлена в цель – это сигналы такой силы, после которых любой переговорщик с Украиной становится политически токсичным. Как Лебедь после Хасавюрта. Тема переговоров уже вышла за пределы круга кухонь и блогеров. Она стала фактором общенародной и главное – военной – консолидации. Паролем, знаком ""свой-чужой"". За переговоры – чужие, против – свои. Краматорск – это еще один гвоздь в крышку гроба переговоров. По гвоздям, конечно. можно и ходить, и даже лежать, но это требует такого изменённого состояния сознания, с которым в политике делать нечего.",Хасавюрт,https://t.me/rus_demiurge
1443,2022-04-08 14:16:50,"Наживку с Краматорском еврики кажется не заглотили. Бубнежка про ""неизбирательное нападение"" очевидно вообще ни о чем. Это Грделица в 1999 была неизбирательным нападением. Видимо Крамоторск придумали хохлы без британских советников. Или это просто какой-то их факап. А несогласованное раскручивать особо никто не будет.",Югославия,https://t.me/holmogortalks
