,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
32,2022-04-08 10:54:28,Над ЖД вокзалом Краматорска сбили Точку-У. Напоминаю что на вооружении армий РФ/ДНР/ЛНР нет Точек-У.,Точка У - только украинское оружие,https://t.me/breege_time_20zz
69,2022-04-08 11:18:35,"Жуть, конечно. Люди собирались эвакуироваться, а их свои же и накрыли Напомним, что именно Верещук призывала жителей Донецкой и Луганской областей, над которыми Киев еще сохранял контроль (+Харьковская область) в спешном порядке эвакуироваться. Вероятно, для того, чтобы ВСУ силами подтянутых резервов сравняли населенные пункты с землей. А вышло так, что начали равнять вместе с жителями Кровь погибших сегодня в Краматорске так же на руках Верещук",Использование живого щита,https://t.me/go338
74,2022-04-08 11:24:24,"В ДНР сообщают, что ВСУ нанесли удар ""Точкой-У"" по Краматорску. Обломки упали рядом с вокзалом. ",Свидетельства представителей ДНР и РФ,https://t.me/sputniklive
104,2022-04-08 11:32:14,"Официальные власти заявляют об ударе двумя ""Искандерами"" по вокзалу. Там бы живого места не осталось и получилась бы огромная воронка, если бы применяли осколочно-фугасный снаряд. Характерных следов от применения кассетного боеприпаса нет — стекла целые. Вызывают вопросы и сгоревшие автомобили. Борис Рожин пишет, что это упала сбитая ""Точка-У"". #Донецк #Украина *Поддержать нас: 4377 7278 0407 7977",Траектория полета,https://t.me/rybar
249,2022-04-08 11:45:40,"Краматорск. Ради оружия и новых санкций против России Украина опять убила своих собственных граждан. На этот раз нелюди ударили ""точкой-у"" по ж/д вокзалу, где шла эвакуация гражданского населения. Разумеется, упыри тут же обвинили во всем Россию, моментально начав снимать на видео последствия своего же преступления.","Украине выгодно, России - нет",https://t.me/newsfrontnotes
263,2022-04-08 11:48:28,"В Краматорске десятки человек погибли в результате падения украинской ракеты ""Точка-У"" в районе ж/д вокзала. Уже несколько дней местные жители массово покидают город, а вокзале постоянно людно. Отсюда и такое количество жертв от прилета ракеты со стороны позиций ВСУ. На данный момент сообщается о 30 погибших и порядка сотни раненных. Данные уточняются. Фото штаба территориальной обороны ДНР. ",Территория запуска контролируется ВСУ,https://t.me/donbassr
296,2022-04-08 11:52:24,"А вот и Арестович высказался по удару по ж/д вокзалу Краматорска. Что и требовалось доказать – Киев создаёт вторую Бучу. Точно такую же фейковую. Вот уж правда, с какими же блядями нам приходится воевать… Только это применимо именно к Киеву.",Свидетельства украинских источников,https://t.me/rlz_the_kraken
296,2022-04-08 11:52:24,"А вот и Арестович высказался по удару по ж/д вокзалу Краматорска. Что и требовалось доказать – Киев создаёт вторую Бучу. Точно такую же фейковую. Вот уж правда, с какими же блядями нам приходится воевать… Только это применимо именно к Киеву.",Украина постоянно использует провокации такие как єта,https://t.me/rlz_the_kraken
330,2022-04-08 11:55:32,"На обломках ракеты, которая ударила по Краматорску, судя по всему надпись ""За детей"". Это очередное, хоть и косвенное подтверждение, что ракета была выпущена украинской армией Inside Donetsk",Надпись за детей,https://t.me/doninside
377,2022-04-08 11:57:51,"По Крамоторску. Сверху ракета упавшая в Крамоторске, снизу для примера ракета комплекса ""Искандер"". Однозначно по Крамоторску ударили ""Точкой-У"" и то, что Украина так истерично это отрицает и указывает на ""Искандер"" красноречиво говорит об виновнике. ""На воре и шапка горит!""",Украина путалась и лгала,https://t.me/talipovonline
